Ticker,Sector
IWM,watchlist_stocks-ETF-sectors_top20_2020-12-25
QQQ,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLK,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLB,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLF,watchlist_stocks-ETF-sectors_top20_2020-12-25
SIL,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLI,watchlist_stocks-ETF-sectors_top20_2020-12-25
SPY,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLC,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLY,watchlist_stocks-ETF-sectors_top20_2020-12-25
DIA,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLV,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLP,watchlist_stocks-ETF-sectors_top20_2020-12-25
GDX,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLE,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLRE,watchlist_stocks-ETF-sectors_top20_2020-12-25
XLU,watchlist_stocks-ETF-sectors_top20_2020-12-25
OCGN,watchlist_sector-healthcare_top20_2020-12-25
ONVO,watchlist_sector-healthcare_top20_2020-12-25
PACB,watchlist_sector-healthcare_top20_2020-12-25
ACRS,watchlist_sector-healthcare_top20_2020-12-25
BEAM,watchlist_sector-healthcare_top20_2020-12-25
AMPE,watchlist_sector-healthcare_top20_2020-12-25
EDIT,watchlist_sector-healthcare_top20_2020-12-25
PRLD,watchlist_sector-healthcare_top20_2020-12-25
KYMR,watchlist_sector-healthcare_top20_2020-12-25
TWST,watchlist_sector-healthcare_top20_2020-12-25
NTLA,watchlist_sector-healthcare_top20_2020-12-25
SMTI,watchlist_sector-healthcare_top20_2020-12-25
FATE,watchlist_sector-healthcare_top20_2020-12-25
EARS,watchlist_sector-healthcare_top20_2020-12-25
CLPT,watchlist_sector-healthcare_top20_2020-12-25
ARVN,watchlist_sector-healthcare_top20_2020-12-25
VTGN,watchlist_sector-healthcare_top20_2020-12-25
EVLO,watchlist_sector-healthcare_top20_2020-12-25
PSNL,watchlist_sector-healthcare_top20_2020-12-25
LUMO,watchlist_sector-healthcare_top20_2020-12-25
STIM,watchlist_sector-healthcare_top20_2020-12-25
PAAS,watchlist_sector-GOLD-miner_top5_2020-12-25
AEM,watchlist_sector-GOLD-miner_top5_2020-12-25
NEM,watchlist_sector-GOLD-miner_top5_2020-12-25
KGC,watchlist_sector-GOLD-miner_top5_2020-12-25
WPM,watchlist_sector-GOLD-miner_top5_2020-12-25
EVN,watchlist_sector-GOLD-miner_top5_2020-12-25
AAPL,watchlist_stocks-DOW30_top5_2020-12-25
DIS,watchlist_stocks-DOW30_top5_2020-12-25
GS,watchlist_stocks-DOW30_top5_2020-12-25
NKE,watchlist_stocks-DOW30_top5_2020-12-25
CAT,watchlist_stocks-DOW30_top5_2020-12-25
TRV,watchlist_stocks-DOW30_top5_2020-12-25
CLNE,watchlist_sector-energy_top10_2020-12-25
LEU,watchlist_sector-energy_top10_2020-12-25
TUSK,watchlist_sector-energy_top10_2020-12-25
UUUU,watchlist_sector-energy_top10_2020-12-25
HPK,watchlist_sector-energy_top10_2020-12-25
AR,watchlist_sector-energy_top10_2020-12-25
NXE,watchlist_sector-energy_top10_2020-12-25
ALTM,watchlist_sector-energy_top10_2020-12-25
URG,watchlist_sector-energy_top10_2020-12-25
TRCH,watchlist_sector-energy_top10_2020-12-25
ESTE,watchlist_sector-energy_top10_2020-12-25
AQB,watchlist_sector-consumer-defensive_top10_2020-12-25
CELH,watchlist_sector-consumer-defensive_top10_2020-12-25
VFF,watchlist_sector-consumer-defensive_top10_2020-12-25
STKL,watchlist_sector-consumer-defensive_top10_2020-12-25
TPB,watchlist_sector-consumer-defensive_top10_2020-12-25
TTCF,watchlist_sector-consumer-defensive_top10_2020-12-25
DIT,watchlist_sector-consumer-defensive_top10_2020-12-25
CHGG,watchlist_sector-consumer-defensive_top10_2020-12-25
LSF,watchlist_sector-consumer-defensive_top10_2020-12-25
TEDU,watchlist_sector-consumer-defensive_top10_2020-12-25
FRPT,watchlist_sector-consumer-defensive_top10_2020-12-25
UAVS,watchlist_sector-industrials_top10_2020-12-25
FCEL,watchlist_sector-industrials_top10_2020-12-25
IEA,watchlist_sector-industrials_top10_2020-12-25
PLUG,watchlist_sector-industrials_top10_2020-12-25
TOMZ,watchlist_sector-industrials_top10_2020-12-25
FLUX,watchlist_sector-industrials_top10_2020-12-25
CPST,watchlist_sector-industrials_top10_2020-12-25
AQMS,watchlist_sector-industrials_top10_2020-12-25
DAC,watchlist_sector-industrials_top10_2020-12-25
EH,watchlist_sector-industrials_top10_2020-12-25
AMSC,watchlist_sector-industrials_top10_2020-12-25
FCEL,watchlist_stocks-RUSSELL2000_top20_2020-12-25
PACB,watchlist_stocks-RUSSELL2000_top20_2020-12-25
MGNI,watchlist_stocks-RUSSELL2000_top20_2020-12-25
CLNE,watchlist_stocks-RUSSELL2000_top20_2020-12-25
BEAM,watchlist_stocks-RUSSELL2000_top20_2020-12-25
SI,watchlist_stocks-RUSSELL2000_top20_2020-12-25
PRLD,watchlist_stocks-RUSSELL2000_top20_2020-12-25
STTK,watchlist_stocks-RUSSELL2000_top20_2020-12-25
FTHM,watchlist_stocks-RUSSELL2000_top20_2020-12-25
TWST,watchlist_stocks-RUSSELL2000_top20_2020-12-25
EDIT,watchlist_stocks-RUSSELL2000_top20_2020-12-25
GME,watchlist_stocks-RUSSELL2000_top20_2020-12-25
PLUG,watchlist_stocks-RUSSELL2000_top20_2020-12-25
NTLA,watchlist_stocks-RUSSELL2000_top20_2020-12-25
KYMR,watchlist_stocks-RUSSELL2000_top20_2020-12-25
SPWR,watchlist_stocks-RUSSELL2000_top20_2020-12-25
CELH,watchlist_stocks-RUSSELL2000_top20_2020-12-25
FATE,watchlist_stocks-RUSSELL2000_top20_2020-12-25
FLNT,watchlist_stocks-RUSSELL2000_top20_2020-12-25
UUUU,watchlist_stocks-RUSSELL2000_top20_2020-12-25
EVLO,watchlist_stocks-RUSSELL2000_top20_2020-12-25
NFE,watchlist_sector-utilities_top5_2020-12-25
AY,watchlist_sector-utilities_top5_2020-12-25
OEG,watchlist_sector-utilities_top5_2020-12-25
BEPC,watchlist_sector-utilities_top5_2020-12-25
AZRE,watchlist_sector-utilities_top5_2020-12-25
CWEN.A,watchlist_sector-utilities_top5_2020-12-25
BEEM,watchlist_sector-technology_top20_2020-12-25
MVIS,watchlist_sector-technology_top20_2020-12-25
RIOT,watchlist_sector-technology_top20_2020-12-25
SOL,watchlist_sector-technology_top20_2020-12-25
CLSK,watchlist_sector-technology_top20_2020-12-25
VUZI,watchlist_sector-technology_top20_2020-12-25
NNDM,watchlist_sector-technology_top20_2020-12-25
KOPN,watchlist_sector-technology_top20_2020-12-25
MWK,watchlist_sector-technology_top20_2020-12-25
SYTA,watchlist_sector-technology_top20_2020-12-25
VERI,watchlist_sector-technology_top20_2020-12-25
SPWR,watchlist_sector-technology_top20_2020-12-25
APPS,watchlist_sector-technology_top20_2020-12-25
INOD,watchlist_sector-technology_top20_2020-12-25
ENPH,watchlist_sector-technology_top20_2020-12-25
INTZ,watchlist_sector-technology_top20_2020-12-25
EVOL,watchlist_sector-technology_top20_2020-12-25
OBLG,watchlist_sector-technology_top20_2020-12-25
QUMU,watchlist_sector-technology_top20_2020-12-25
ZDGE,watchlist_sector-technology_top20_2020-12-25
AEYE,watchlist_sector-technology_top20_2020-12-25
EXK,watchlist_sector-SILVER-miner_top5_2020-12-25
ABBRF,watchlist_sector-SILVER-miner_top5_2020-12-25
GLGDF,watchlist_sector-SILVER-miner_top5_2020-12-25
AAGFF,watchlist_sector-SILVER-miner_top5_2020-12-25
SLVRF,watchlist_sector-SILVER-miner_top5_2020-12-25
HL,watchlist_sector-SILVER-miner_top5_2020-12-25
ALB,watchlist_stocks-SP500_top10_2020-12-25
PAYC,watchlist_stocks-SP500_top10_2020-12-25
IDXX,watchlist_stocks-SP500_top10_2020-12-25
ALGN,watchlist_stocks-SP500_top10_2020-12-25
SIVB,watchlist_stocks-SP500_top10_2020-12-25
CDNS,watchlist_stocks-SP500_top10_2020-12-25
FCX,watchlist_stocks-SP500_top10_2020-12-25
QRVO,watchlist_stocks-SP500_top10_2020-12-25
APTV,watchlist_stocks-SP500_top10_2020-12-25
MS,watchlist_stocks-SP500_top10_2020-12-25
NTAP,watchlist_stocks-SP500_top10_2020-12-25
MP,watchlist_sector-basic-materials_top10_2020-12-25
LTHM,watchlist_sector-basic-materials_top10_2020-12-25
GEVO,watchlist_sector-basic-materials_top10_2020-12-25
AUMN,watchlist_sector-basic-materials_top10_2020-12-25
LAC,watchlist_sector-basic-materials_top10_2020-12-25
CLF,watchlist_sector-basic-materials_top10_2020-12-25
SID,watchlist_sector-basic-materials_top10_2020-12-25
TSE,watchlist_sector-basic-materials_top10_2020-12-25
XPL,watchlist_sector-basic-materials_top10_2020-12-25
SMID,watchlist_sector-basic-materials_top10_2020-12-25
AMRS,watchlist_sector-basic-materials_top10_2020-12-25
TSLA,watchlist_stocks-NASDAQ100_top10_2020-12-25
MELI,watchlist_stocks-NASDAQ100_top10_2020-12-25
CDNS,watchlist_stocks-NASDAQ100_top10_2020-12-25
IDXX,watchlist_stocks-NASDAQ100_top10_2020-12-25
PDD,watchlist_stocks-NASDAQ100_top10_2020-12-25
ALGN,watchlist_stocks-NASDAQ100_top10_2020-12-25
BIDU,watchlist_stocks-NASDAQ100_top10_2020-12-25
TTWO,watchlist_stocks-NASDAQ100_top10_2020-12-25
AAPL,watchlist_stocks-NASDAQ100_top10_2020-12-25
PYPL,watchlist_stocks-NASDAQ100_top10_2020-12-25
SNPS,watchlist_stocks-NASDAQ100_top10_2020-12-25
WY,watchlist_sector-real-estate_top5_2020-12-25
CBRE,watchlist_sector-real-estate_top5_2020-12-25
EXR,watchlist_sector-real-estate_top5_2020-12-25
IRM,watchlist_sector-real-estate_top5_2020-12-25
HST,watchlist_sector-real-estate_top5_2020-12-25
PSA,watchlist_sector-real-estate_top5_2020-12-25
QS,watchlist_sector-consumer-cyclical_top10_2020-12-25
BLNK,watchlist_sector-consumer-cyclical_top10_2020-12-25
POWW,watchlist_sector-consumer-cyclical_top10_2020-12-25
FRSX,watchlist_sector-consumer-cyclical_top10_2020-12-25
JMIA,watchlist_sector-consumer-cyclical_top10_2020-12-25
ELYS,watchlist_sector-consumer-cyclical_top10_2020-12-25
GME,watchlist_sector-consumer-cyclical_top10_2020-12-25
GRWG,watchlist_sector-consumer-cyclical_top10_2020-12-25
PTON,watchlist_sector-consumer-cyclical_top10_2020-12-25
WPRT,watchlist_sector-consumer-cyclical_top10_2020-12-25
STON,watchlist_sector-consumer-cyclical_top10_2020-12-25
RMG,watchlist_sector-financial-services_top10_2020-12-25
BRPA,watchlist_sector-financial-services_top10_2020-12-25
MARA,watchlist_sector-financial-services_top10_2020-12-25
TPGY,watchlist_sector-financial-services_top10_2020-12-25
SI,watchlist_sector-financial-services_top10_2020-12-25
STPK,watchlist_sector-financial-services_top10_2020-12-25
LOAK,watchlist_sector-financial-services_top10_2020-12-25
SBE,watchlist_sector-financial-services_top10_2020-12-25
FRHC,watchlist_sector-financial-services_top10_2020-12-25
IPOB,watchlist_sector-financial-services_top10_2020-12-25
DMYT,watchlist_sector-financial-services_top10_2020-12-25
FUBO,watchlist_sector-communication-services_top10_2020-12-25
MGNI,watchlist_sector-communication-services_top10_2020-12-25
FLNT,watchlist_sector-communication-services_top10_2020-12-25
PERI,watchlist_sector-communication-services_top10_2020-12-25
IZEA,watchlist_sector-communication-services_top10_2020-12-25
ROKU,watchlist_sector-communication-services_top10_2020-12-25
ANTE,watchlist_sector-communication-services_top10_2020-12-25
GRVY,watchlist_sector-communication-services_top10_2020-12-25
NGMS,watchlist_sector-communication-services_top10_2020-12-25
CSSE,watchlist_sector-communication-services_top10_2020-12-25
CDLX,watchlist_sector-communication-services_top10_2020-12-25
