Ticker,Name
WPM,WHEATON PRECIOUS
PAAS,PAN AMERICAN SILVER CORP
HL,HECLA MINING CO
SSRM,SSR MINING INC
BVN,BUENAVENTURA-ADR
AG,FIRST MAJESTIC S
CDE,COEUR MINING INC
MAG,MAG SILVER CORP
FSM,FORTUNA SILVER MINES INC
SILV,SILVERCREST METALS INC
SVM,SILVERCORP METALS INC
HCHDF,HOCHSCHILD MINING PLC
EXK,ENDEAVOUR SILVER CORP
NUPMF,NEW PACIFIC METALS CORP
AXU,ALEXCO RESOURCE CORP
USAS,AMERICAS GOLD AN
GLGDF,GOGOLD RESOURCES INC
DSVMF,DISCOVERY METALS CORP
MUX,MCEWEN MINING INC
GPL,GREAT PANTHER MINING LTD
GORO,GOLD RESOURCE CORP
BCEKF,BEAR CREEK MINING CORP
ITRG,INTEGRA RESOURCES CORP
KSKGF,KINGSGATE CONSOL
AUNFF,AURCANA SILVER CORP
PRMNF,PRIME MINING CORP
ISVLF,IMPACT SILVER CORP
AAGFF,AFTERMATH SILVER LTD
ABBRF,ABRAPLATA RESOURCE CORP
SLVRF,SILVER ONE RESOURCES INC
KOOYF,KOOTENAY SILVER INC
EXN,EXCELLON RESOURCES INC
AAU,ALMADEN MINERALS LTD - B
WHGDF,WHITEHORSE GOLD CORP
