Ticker,Company
KRKR,36Kr Holdings Inc ADR Class A
ATVI,"Activision Blizzard, Inc"
AHC,A.H. Belo Corporation
ANTE,AirNet Technology Inc
ALSK,"Alaska Communications Systems Group, Inc"
AESE,Allied Esports Entertainment Inc
GOOG,Alphabet Inc
GOOGL,Alphabet Inc
ATUS,"Altice USA, Inc"
AMC,"AMC Entertainment Holdings, Inc"
AMCX,AMC Networks Inc
AMOV,"America Movil, S.A.B. de C.V"
AMX,"America Movil, S.A.B. de C.V"
ANGI,ANGI Homeservices Inc
ATEX,Anterix Inc
ATNI,"ATN International, Inc"
T,AT&T Inc
ATHM,Autohome Inc
AUTO,"AutoWeb, Inc"
AVID,"Avid Technology, Inc"
BIDU,"Baidu, Inc"
BCE,BCE Inc
BBGI,"Beasley Broadcast Group, Inc"
BILI,Bilibili Inc
BLCT,BlueCity Holdings Ltd. Sponsored ADR Class A
WIFI,"Boingo Wireless, Inc"
BOMN,Boston Omaha Corporation
CABO,"Cable One, Inc"
CANG,Cango Inc
CDLX,"Cardlytics, Inc"
CARG,"CarGurus, Inc"
CEL,Cellcom Israel Ltd
LUMN,CenturyLink Inc.
CHTR,"Charter Communications, Inc"
CSSE,"Chicken Soup for the Soul Entertainment, Inc"
CHL,China Mobile Limited
CNET,"ChinaNet Online Holdings, Inc"
CHA,China Telecom Corporation Limited
CHU,China Unicom (Hong Kong) Limited
CHT,"Chunghwa Telecom Co., Ltd"
CMPR,Cimpress N.V
CBB,Cincinnati Bell Inc
CIDM,Cinedigm Corp
CNK,"Cinemark Holdings, Inc"
CCO,"Clear Channel Outdoor Holdings, Inc"
CCOI,"Cogent Communications Holdings, Inc"
CMCSA,Comcast Corporation
SCOR,"comScore, Inc"
CNSL,"Consolidated Communications Holdings, Inc"
CRTD,Creatd Inc.
CRTO,Criteo S.A
CMLS,Cumulus Media Inc
CURI,CuriosityStream Inc Class A
DJCO,Daily Journal Corporation
DLX,Deluxe Corporation
DMS,Digital Media Solutions Inc. Class A
DISCA,"Discovery, Inc"
DISCB,"Discovery, Inc"
DISCK,"Discovery, Inc"
DISH,DISH Network Corporation
DLB,"Dolby Laboratories, Inc"
DLPN,"Dolphin Entertainment, Inc"
DOYU,DouYu International Holdings Limited
EDUC,Educational Development Corporation
EA,Electronic Arts Inc
EEX,"Emerald Expositions Events, Inc"
EMMS,Emmis Communications Corporation
ETM,Entercom Communications Corp
EVC,Entravision Communications Corporation
ESGC,Eros STX Global Corporation Class A
EVER,"EverQuote, Inc"
FB,"Facebook, Inc"
SFUN,Fang Holdings Limited
FVRR,Fiverr International Ltd
FLNT,"Fluent, Inc"
FWONA,Formula One Group
FWONK,Formula One Group
FOX,Fox Corporation
FOXA,Fox Corporation
FUBO,fuboTV Inc.
BHAT,Fujian Blue Hat Interactive Entertainment Technology Ltd
GAIA,"Gaia, Inc"
GCI,"Gannett Co., Inc"
GLIBA,"GCI Liberty, Inc"
GNUS,"Genius Brands International, Inc"
GIGM,GigaMedia Limited
GSAT,"Globalstar, Inc"
GSMG,Glory Star New Media Group Holdings Ltd.
GLUU,Glu Mobile Inc
GOGO,Gogo Inc
GRVY,"Gravity Co., Ltd"
GTN.A,"Gray Television, Inc"
GTN,"Gray Television, Inc"
GRPN,"Groupon, Inc"
GRUB,Grubhub Inc
TV,"Grupo Televisa, S.A.B"
GTT,"GTT Communications, Inc"
HOFV,Hall of Fame Resort & Entertainment Company
HCHC,"HC2 Holdings, Inc"
HMTV,"Hemisphere Media Group, Inc"
HUYA,HUYA Inc
IAC,IAC/InterActiveCorp
ICLK,iClick Interactive Asia Group Limited
IDT,IDT Corporation
IHRT,"iHeartMedia, Inc"
IMAX,IMAX Corporation
ISIG,"Insignia Systems, Inc"
INSE,"Inspired Entertainment, Inc"
IDCC,"InterDigital, Inc"
INUV,"Inuvo, Inc"
IQ,"iQIYI, Inc"
IRDM,Iridium Communications Inc
IZEA,"IZEA Worldwide, Inc"
JFIN,Jiayin Group Inc
JW.A,"John Wiley & Sons, Inc"
JW.B,"John Wiley & Sons, Inc"
KLR,Kaleyra Inc
KT,KT Corporation
LEAF,Leaf Group Ltd
LEE,"Lee Enterprises, Incorporated"
LBRDK,Liberty Broadband Corporation
LBRDA,Liberty Broadband Corporation
LBTYA,Liberty Global Plc
LBTYB,Liberty Global Plc
LBTYK,Liberty Global Plc
LILAK,Liberty Latin America Ltd
LILA,Liberty Latin America Ltd
LTRPB,"Liberty TripAdvisor Holdings, Inc"
LTRPA,"Liberty TripAdvisor Holdings, Inc"
LN,LINE Corporation
LGF.B,Lions Gate Entertainment Corp
LGF.A,Lions Gate Entertainment Corp
YVR,Liquid Media Group Ltd
LYV,"Live Nation Entertainment, Inc"
LIVX,"LiveXLive Media, Inc"
LIZI,Lizhi Inc ADR Class A
LORL,Loral Space & Communications Inc
LKCO,Luokung Technology Corp
MSGE,Madison Square Garden Entertainment Corp Class A
MSGS,Madison Square Garden Sports Corp. Class A
MGNI,Magnite Inc.
