Ticker,Company
FLWS,"1-800-FLOWERS.COM, Inc"
GOED,1847 Goedeker Inc
WBAI,500.com Limited
ANF,Abercrombie & Fitch Co
ACEL,Accel Entertainment Inc Class A
ATV,"Acorn International, Inc"
GOLF,Acushnet Holdings Corp
ADNT,Adient plc
AAP,"Advance Auto Parts, Inc"
AIN,Albany International Corp
BABA,Alibaba Group Holding Limited
ALSN,"Allison Transmission Holdings, Inc"
AMZN,"Amazon.com, Inc"
AMCR,Amcor plc
AXL,"American Axle & Manufacturing Holdings, Inc"
AEO,"American Eagle Outfitters, Inc"
AOUTV,American Outdoor Brands Inc.
AOUT,American Outdoor Brands Inc.
AMWD,American Woodmark Corporation
CRMT,"America's Car-Mart, Inc"
POWW,AMMO Inc
APEX,Apex Global Brands Inc
AUVI,Applied UV Inc.
ATR,"AptarGroup, Inc"
APTV,Aptiv PLC
ARMK,Aramark
FUV,"Arcimoto, Inc"
ARCO,Arcos Dorados Holdings Inc
ARD,Ardagh Group S.A
ARKR,Ark Restaurants Corp
ABG,"Asbury Automotive Group, Inc"
HOME,At Home Group Inc
ALV,"Autoliv, Inc"
AN,"AutoNation, Inc"
AZO,"AutoZone, Inc"
AYRO,AYRO Inc.
BTN,"Ballantyne Strong, Inc"
BLL,Ball Corporation
BALY,Bally's Corporation
BZUN,Baozun Inc
BNED,"Barnes & Noble Education, Inc"
BSET,"Bassett Furniture Industries, Incorporated"
BBQ,"BBQ Holdings, Inc"
BZH,"Beazer Homes USA, Inc"
BBBY,Bed Bath & Beyond Inc
BERY,"Berry Global Group, Inc"
BBY,"Best Buy Co., Inc"
BWMX,Betterware de Mexico S.A. de C.V
BGFV,Big 5 Sporting Goods Corporation
BH,Biglari Holdings Inc
BH.A,Biglari Holdings Inc
BGI,Birks Group Inc
BJRI,"BJ's Restaurants, Inc"
BLNK,Blink Charging Co
BLMN,"Bloomin' Brands, Inc"
APRN,"Blue Apron Holdings, Inc"
BLBD,Blue Bird Corporation
BXG,Bluegreen Vacations Corporation
BKNG,Booking Holdings Inc
BOOT,"Boot Barn Holdings, Inc"
BQ,Boqii Holding Limited Sponsored ADR Class A
BWA,BorgWarner Inc
BYD,Boyd Gaming Corporation
BFAM,Bright Horizons Family Solutions Inc
EAT,"Brinker International, Inc"
DOOO,BRP Inc
BC,Brunswick Corporation
BBW,"Build-A-Bear Workshop, Inc"
BURL,"Burlington Stores, Inc"
CZR,Caesars Entertainment Corporation
CAL,"Caleres, Inc"
ELY,Callaway Golf Company
CWH,"Camping World Holdings, Inc"
GOOS,Canada Goose Holdings Inc
CNNE,"Cannae Holdings, Inc"
CPHC,Canterbury Park Holding Corporation
CPRI,Capri Holdings Limited
KMX,"CarMax, Inc"
CUK,Carnival Corporation & Plc
CCL,Carnival Corporation & Plc
CSV,"Carriage Services, Inc"
TAST,"Carrols Restaurant Group, Inc"
CARS,Cars.com Inc
CRI,"Carter's, Inc"
CVNA,Carvana Co
CSPR,Casper Sleep Inc
CVCO,"Cavco Industries, Inc"
FUN,"Cedar Fair, L.P"
CNTY,"Century Casinos, Inc"
CCS,"Century Communities, Inc"
CTHR,"Charles & Colvard, Ltd"
CHWY,"Chewy, Inc"
CHS,"Chico's FAS, Inc"
CAAS,"China Automotive Systems, Inc"
CXDC,China XD Plastics Company Limited
CMG,"Chipotle Mexican Grill, Inc"
CHH,"Choice Hotels International, Inc"
CHDN,Churchill Downs Incorporated
CHUY,"Chuy's Holdings, Inc"
CTRN,"Citi Trends, Inc"
CLAR,Clarus Corporation
COLM,Columbia Sportswear Company
