Ticker,Company
TWOU,"2U, Inc"
ACU,Acme United Corporation
AGRO,Adecoagro S.A
ATGE,Adtalem Global Education Inc
AFYA,Afya Limited
AGFS,"AgroFresh Solutions, Inc"
ACI,Albertsons Companies Inc. Class A
ALCO,"Alico, Inc"
MO,"Altria Group, Inc"
ABEV,Ambev S.A
AMBO,Ambow Education Holding Ltd
DIT,AMCON Distributing Company
APEI,"American Public Education, Inc"
RYCE,Amira Nature Foods Ltd.
BUD,Anheuser-Busch InBev SA/NV
AQB,"AquaBounty Technologies, Inc"
ADM,Archer-Daniels-Midland Company
ARCE,Arco Platform Limited
ASPU,"Aspen Group, Inc"
AACG,ATA Creativity Global Sponsored ADR
BRBR,BellRing Brands Inc Class A
BYND,"Beyond Meat, Inc"
BGS,"B&G Foods, Inc"
BIG,"Big Lots, Inc"
BJ,"BJ's Wholesale Club Holdings, Inc"
LND,BrasilAgro - Companhia Brasileira de Propriedades Agricolas
BRFS,BRF S.A
BRID,Bridgford Foods Corporation
BEDU,Bright Scholar Education Holdings Limited
BTI,British American Tobacco p.l.c
BF.A,Brown-Forman Corporation
BF.B,Brown-Forman Corporation
BG,Bunge Limited
CVGW,"Calavo Growers, Inc"
CALM,"Cal-Maine Foods, Inc"
CLXT,"Calyxt, Inc"
CPB,Campbell Soup Company
CASY,"Casey's General Stores, Inc"
CELH,"Celsius Holdings, Inc"
CENTA,Central Garden & Pet Company
CENT,Central Garden & Pet Company
CHGG,"Chegg, Inc"
DL,China Distance Education Holdings Limited
CLEU,China Liberal Education Holdings Ltd
COE,China Online Education Group
PLIN,"China Xiangtai Food Co., Ltd"
CHD,"Church & Dwight Co., Inc"
COKE,"Coca-Cola Consolidated, Inc"
CCEP,Coca-Cola European Partners plc
KOF,"Coca-Cola FEMSA, S.A.B. de C.V"
JVA,"Coffee Holding Co., Inc"
CL,Colgate-Palmolive Company
CCU,Compania Cervecerias Unidas S.A
CAG,"Conagra Brands, Inc"
STZ,"Constellation Brands, Inc"
STZ.B,"Constellation Brands, Inc"
CORE,"Core-Mark Holding Company, Inc"
COST,Costco Wholesale Corporation
COTY,Coty Inc
CRESY,"Cresud Sociedad Anonima Comercial, Inmobiliaria, Financiera y Agropecuaria"
CYAN,Cyanotech Corporation
DAR,Darling Ingredients Inc
DTEA,DAVIDsTEA Inc
DEO,Diageo plc
DOGZ,Dogness (International) Corporation
DG,Dollar General Corporation
DLTR,"Dollar Tree, Inc"
EAST,"Eastside Distilling, Inc"
EPC,Edgewell Personal Care Company
ELF,"e.l.f. Beauty, Inc"
AKO.A,Embotelladora Andina S.A
AKO.B,Embotelladora Andina S.A
FARM,Farmer Bros. Co
FAMI,"Farmmi, Inc"
FLO,"Flowers Foods, Inc"
FMX,"Fomento Economico Mexicano, S.A.B. de C.V"
FEDU,Four Seasons Education (Cayman) Inc
FDP,Fresh Del Monte Produce Inc
FRPT,"Freshpet, Inc"
GIS,"General Mills, Inc"
GPX,GP Strategies Corporation
GHC,Graham Holdings Company
LOPE,"Grand Canyon Education, Inc"
GO,Grocery Outlet Holding Corp
GSX,GSX Techedu Inc
WILC,G. Willi-Food International Ltd
HLG,Hailiang Education Group Inc
HELE,Helen of Troy Limited
HLF,Herbalife Nutrition Ltd
HFFG,HF Foods Group Inc
HRL,Hormel Foods Corporation
TWNK,"Hostess Brands, Inc"
HMHC,Houghton Mifflin Harcourt Company
IFMK,iFresh Inc
IBA,"Industrias Bachoco, S.A.B. de C.V"
IMKTA,"Ingles Markets, Incorporated"
INGR,Ingredion Incorporated
IPAR,"Inter Parfums, Inc"
JJSF,J & J Snack Foods Corp
JBSS,"John B. Sanfilippo & Son, Inc"
LRN,K12 Inc
K,Kellogg Company
KDP,Keurig Dr Pepper Inc
KMB,Kimberly-Clark Corporation
LSF,Laird Superfood Inc.
LAIX,LAIX Inc
LW,"Lamb Weston Holdings, Inc"
LANC,Lancaster Colony Corporation
LNDC,Landec Corporation
LAUR,"Laureate Education, Inc"
LFVN,LifeVantage Corporation
LWAY,"Lifeway Foods, Inc"
LMNR,Limoneira Company
LINC,Lincoln Educational Services Corporation
LXEH,Lixiang Education Holding Co. Ltd. Sponsored ADR
MTEX,"Mannatech, Incorporated"
MKC.V,"McCormick & Company, Incorporated"
MKC,"McCormick & Company, Incorporated"
METX,Meten EdtechX Education Group Ltd
MGPI,"MGP Ingredients, Inc"
AVO,Mission Produce Inc.
TAP.A,Molson Coors Brewing Company
TAP,Molson Coors Brewing Company
MDLZ,"Mondelez International, Inc"
MNST,Monster Beverage Corporation
FIZZ,National Beverage Corp
NTCO,Natura & Co Holding SA Unsponsored ADR
NAII,"Natural Alternatives International, Inc"
NGVC,"Natural Grocers by Vitamin Cottage, Inc"
NATR,"Nature's Sunshine Products, Inc"
NBEV,New Age Beverages Corporation
NWL,Newell Brands Inc
EDU,New Oriental Education & Technology Group Inc
NOMD,Nomad Foods Limited
NUS,"Nu Skin Enterprises, Inc"
NUZE,Nuzee Inc
OLLI,"Ollie's Bargain Outlet Holdings, Inc"
ONE,OneSmart International Education Group Limited
PEP,"PepsiCo, Inc"
PRDO,Perdoceo Education Corporation
PFGC,Performance Food Group Company
PM,Philip Morris International Inc
PPC,Pilgrim's Pride Corporation
PME,Pingtan Marine Enterprise Ltd
PLAG,Planet Green Holdings Corp
POST,"Post Holdings, Inc"
PSMT,"PriceSmart, Inc"
PRMW,Primo Water Corporation
NEW,Puxin Limited
REED,"Reed's, Inc"
RELV,"Reliv' International, Inc"
REV,"Revlon, Inc"
RIBT,RiceBran Technologies
REDU,RISE Education Cayman Ltd
RMCF,"Rocky Mountain Chocolate Factory, Inc"
RYB,"RYB Education, Inc"
SAFM,"Sanderson Farms, Inc"
SENEB,Seneca Foods Corporation
SENEA,Seneca Foods Corporation
EDTK,Skillful Craftsman Education Technology Ltd.
SPTN,SpartanNash Company
SPB,"Spectrum Brands Holdings, Inc"
SFM,"Sprouts Farmers Market, Inc"
STRA,"Strategic Education, Inc"
SUMR,"Summer Infant, Inc"
STG,Sunlands Technology Group
STKL,SunOpta Inc
SANW,S&W Seed Company
SYY,Sysco Corporation
TAL,TAL Education Group
TANH,Tantech Holdings Ltd
TEDU,"Tarena International, Inc"
TGT,Target Corporation
TTCF,Tattooed Chef Inc Class A
PETZ,"TDH Holdings, Inc"
WTER,The Alkaline Water Company Inc
ANDE,"The Andersons, Inc"
SAM,"The Boston Beer Company, Inc"
CHEF,"The Chefs' Warehouse, Inc"
CLX,The Clorox Company
KO,The Coca-Cola Company
EL,The Estee Lauder Companies Inc
HAIN,"The Hain Celestial Group, Inc"
HSY,The Hershey Company
SJM,The J. M. Smucker Company
KHC,The Kraft Heinz Company
KR,The Kroger Co
PG,The Procter & Gamble Company
SMPL,The Simply Good Foods Company
UL,The Unilever Group
TR,"Tootsie Roll Industries, Inc"
THS,"TreeHouse Foods, Inc"
TPB,"Turning Point Brands, Inc"
TSN,"Tyson Foods, Inc"
UG,"United-Guardian, Inc"
UNFI,"United Natural Foods, Inc"
UVV,Universal Corporation
UTI,"Universal Technical Institute, Inc"
USNA,"USANA Health Sciences, Inc"
USFD,US Foods Holding Corp
UTZ,UTZ Brands Inc Class A
VSTA,Vasta Platform Ltd. Class A
VGR,Vector Group Ltd
VFF,"Village Farms International, Inc"
VLGEA,"Village Super Market, Inc"
VITL,Vital Farms Inc.
VTRU,Vitru Ltd.
WAFU,Wah Fu Education Group Limited
WMT,Walmart Inc
WMK,"Weis Markets, Inc"
WVVI,"Willamette Valley Vineyards, Inc"
YGYI,"Youngevity International, Inc"
ZVO,Zovio Inc
