Ticker,Company
AXAS,Abraxas Petroleum Corporation
AE,"Adams Resources & Energy, Inc"
AMTX,"Aemetis, Inc"
ARLP,"Alliance Resource Partners, L.P"
ALTM,Altus Midstream Company
AREC,American Resources Corporation
AMPY,Amplify Energy Corp
AM,Antero Midstream Corporation
AR,Antero Resources Corporation
APA,Apache Corporation
ARCH,"Arch Coal, Inc"
AROC,"Archrock, Inc"
BKR,Baker Hughes Company Class A
BRN,"Barnwell Industries, Inc"
BATL,Battalion Oil Corporation
BRY,Berry Petroleum Corporation
BSM,"Black Stone Minerals, L.P"
BKEP,"Blueknight Energy Partners, L.P"
BCEI,"Bonanza Creek Energy, Inc"
BORR,Borr Drilling Limited
BPMP,BP Midstream Partners LP
BP,BP p.l.c
BPT,BP Prudhoe Bay Royalty Trust
MNRL,"Brigham Minerals, Inc"
VTOL,Bristow Group Inc
COG,Cabot Oil & Gas Corporation
WHD,"Cactus, Inc"
CRC,California Resources Corporation
CPE,Callon Petroleum Company
CLMT,"Calumet Specialty Products Partners, L.P"
CEI,"Camber Energy, Inc"
CCJ,Cameco Corporation
CNQ,Canadian Natural Resources Limited
CVE,Cenovus Energy Inc
CDEV,"Centennial Resource Development, Inc"
LEU,Centrus Energy Corp
CHX,ChampionX Corporation
LNG,"Cheniere Energy, Inc"
CQP,"Cheniere Energy Partners, L.P"
OJSCY,Cherkizovo Group - GDR - 144A
CVX,Chevron Corporation
SNP,China Petroleum & Chemical Corporation
XEC,Cimarex Energy Co
CKX,"CKX Lands, Inc"
CLNE,Clean Energy Fuels Corp
CEO,CNOOC Limited
CNX,CNX Resources Corporation
CRK,"Comstock Resources, Inc"
CXO,Concho Resources Inc
COP,ConocoPhillips
CCR,CONSOL Coal Resources LP
CEIX,CONSOL Energy Inc
MCF,Contango Oil & Gas Company
CLR,"Continental Resources, Inc"
CTRA,"Contura Energy, Inc"
CLB,Core Laboratories N.V
CZZ,Cosan Limited
CVIA,Covia Holdings Corporation
CPG,Crescent Point Energy Corp
CEQP,Crestwood Equity Partners LP
CAPL,CrossAmerica Partners LP
CRT,Cross Timbers Royalty Trust
CCLP,CSI Compressco LP
CVI,"CVR Energy, Inc"
CELP,"Cypress Energy Partners, L.P"
DWSN,Dawson Geophysical Company
DCP,"DCP Midstream, LP"
DKL,"Delek Logistics Partners, LP"
DK,"Delek US Holdings, Inc"
DEN,Denbury Inc.
DNN,Denison Mines Corp
DVN,Devon Energy Corporation
DHT,"DHT Holdings, Inc"
FANG,"Diamondback Energy, Inc"
DSSI,Diamond S Shipping Inc
BOOM,DMC Global Inc
DMLP,"Dorchester Minerals, L.P"
LPG,Dorian LPG Ltd
DRQ,"Dril-Quip, Inc"
DLNG,Dynagas LNG Partners LP
ESTE,"Earthstone Energy, Inc"
ECT,ECA Marcellus Trust I
EC,Ecopetrol S.A
ENBL,"Enable Midstream Partners, LP"
ENB,Enbridge Inc
UUUU,Energy Fuels Inc
ET,Energy Transfer LP
ERF,Enerplus Corporation
E,Eni S.p.A
ENLC,"EnLink Midstream, LLC"
ENSV,Enservco Corporation
EPD,Enterprise Products Partners L.P
EOG,"EOG Resources, Inc"
EPSN,Epsilon Energy Ltd
EQT,EQT Corporation
EQNR,Equinor ASA
ETRN,Equitrans Midstream Corporation
EURN,Euronav NV
EPM,Evolution Petroleum Corporation
EXTN,Exterran Corporation
XOG,"Extraction Oil & Gas, Inc"
XOM,Exxon Mobil Corporation
FLMN,Falcon Minerals Corporation
FLNG,Flex LNG Ltd
FTK,"Flotek Industries, Inc"
FET,"Forum Energy Technologies, Inc"
FI,Frank's International N.V
FRO,Frontline Ltd
FTSI,"FTS International, Inc"
GLOG,GasLog Ltd
GLOP,GasLog Partners LP
GEL,"Genesis Energy, L.P"
GPRK,GeoPark Limited
GEOS,Geospace Technologies Corporation
GLP,Global Partners LP
GLNG,Golar LNG Limited
GMLP,Golar LNG Partners LP
GDP,Goodrich Petroleum Corporation
GTE,Gran Tierra Energy Inc
GPP,Green Plains Partners LP
GIFI,"Gulf Island Fabrication, Inc"
GPOR,Gulfport Energy Corporation
HNRG,Hallador Energy Company
HAL,Halliburton Company
HLX,"Helix Energy Solutions Group, Inc"
HP,"Helmerich & Payne, Inc"
HES,Hess Corporation
HESM,Hess Midstream Partners LP
HPK,HighPeak Energy Inc
HPR,HighPoint Resources Corporation
HMLP,Hoegh LNG Partners LP
HEP,"Holly Energy Partners, L.P"
HFC,HollyFrontier Corporation
HUSA,Houston American Energy Corp
IMO,Imperial Oil Limited
ICD,"Independence Contract Drilling, Inc"
INDO,Indonesia Energy Corporation Limited
IO,ION Geophysical Corporation
KRP,"Kimbell Royalty Partners, LP"
KMI,"Kinder Morgan, Inc"
KLXE,"KLX Energy Services Holdings, Inc"
KOS,Kosmos Energy Ltd
LPI,"Laredo Petroleum, Inc"
LBRT,Liberty Oilfield Services Inc
MMP,"Magellan Midstream Partners, L.P"
MGY,Magnolia Oil & Gas Corporation
TUSK,"Mammoth Energy Services, Inc"
MRO,Marathon Oil Corporation
MPC,Marathon Petroleum Corporation
MARPS,Marine Petroleum Trust
MMLP,Martin Midstream Partners L.P
MTDR,Matador Resources Company
MTRX,Matrix Service Company
MTR,Mesa Royalty Trust
MXC,Mexco Energy Corporation
MCEP,"Mid-Con Energy Partners, LP"
MPLX,MPLX LP
MRC,MRC Global Inc
MUR,Murphy Oil Corporation
MVO,MV Oil Trust
NBR,Nabors Industries Ltd
NC,"NACCO Industries, Inc"
NESR,National Energy Services Reunited Corp
NFG,National Fuel Gas Company
NOV,"National Oilwell Varco, Inc"
NGS,"Natural Gas Services Group, Inc"
NRP,Natural Resource Partners L.P
NVGS,Navigator Holdings Ltd
NNA,Navios Maritime Acquisition Corporation
NCSM,"NCS Multistage Holdings, Inc"
GBR,"New Concept Energy, Inc"
NR,"Newpark Resources, Inc"
NXE,NexGen Energy Ltd
NEXT,NextDecade Corporation
NEX,NexTier Oilfield Solutions Inc.
NGL,NGL Energy Partners LP
NINE,"Nine Energy Service, Inc"
NBLX,Noble Midstream Partners LP
NOA,North American Construction Group Ltd
NOG,"Northern Oil and Gas, Inc"
NRT,North European Oil Royalty Trust
DNOW,NOW Inc
NS,NuStar Energy L.P
OMP,Oasis Midstream Partners LP
OAS,Oasis Petroleum Inc
OXY,Occidental Petroleum Corporation
OII,"Oceaneering International, Inc"
OIS,"Oil States International, Inc"
OKE,"ONEOK, Inc"
OSG,"Overseas Shipholding Group, Inc"
OVV,Ovintiv Inc
ROYT,Pacific Coast Oil Trust
PACD,Pacific Drilling S.A
PEIX,"Pacific Ethanol, Inc"
PHX,Panhandle Oil and Gas Inc
PARR,"Par Pacific Holdings, Inc"
PE,"Parsley Energy, Inc"
PTEN,"Patterson-UTI Energy, Inc"
PBF,PBF Energy Inc
PBFX,PBF Logistics LP
PDCE,"PDC Energy, Inc"
BTU,Peabody Energy Corporation
PED,PEDEVCO Corp
PBA,Pembina Pipeline Corporation
PVAC,Penn Virginia Corporation
PBT,Permian Basin Royalty Trust
PVL,Permianville Royalty Trust
PRT,PermRock Royalty Trust
PTR,PetroChina Company Limited
PBR,Petroleo Brasileiro S.A. - Petrobras
PBR.A,Petroleo Brasileiro S.A. - Petrobras
PSX,Phillips 66
PSXP,Phillips 66 Partners LP
PXD,Pioneer Natural Resources Company
PAA,"Plains All American Pipeline, L.P"
PAGP,"Plains GP Holdings, L.P"
PDS,Precision Drilling Corporation
PNRG,PrimeEnergy Resources Corporation
PFIE,"Profire Energy, Inc"
PUMP,ProPetro Holding Corp
QEP,"QEP Resources, Inc"
RNGR,"Ranger Energy Services, Inc"
RRC,Range Resources Corporation
RTLR,Rattler Midstream LP
RCON,"Recon Technology, Ltd"
REGI,"Renewable Energy Group, Inc"
REX,REX American Resources Corporation
RNET,"RigNet, Inc"
REI,"Ring Energy, Inc"
RDS.A,Royal Dutch Shell plc
RDS.B,Royal Dutch Shell plc
RES,"RPC, Inc"
SBR,Sabine Royalty Trust
SAEX,"SAExploration Holdings, Inc"
SNMP,Sanchez Midstream Partners LP
SD,"SandRidge Energy, Inc"
PER,SandRidge Permian Trust
SJT,San Juan Basin Royalty Trust
SSL,Sasol Limited
SLB,Schlumberger Limited
STNG,Scorpio Tankers Inc
CKH,Seacor Holdings Inc
SDRL,Seadrill Limited
WTTR,"Select Energy Services, Inc"
