Ticker,Company
AQN,Algonquin Power & Utilities Corp
ALE,"ALLETE, Inc"
LNT,Alliant Energy Corporation
AEE,Ameren Corporation
AEP,"American Electric Power Company, Inc"
AWR,American States Water Company
AWK,"American Water Works Company, Inc"
ARTNA,Artesian Resources Corporation
AY,Atlantica Yield plc
AT,Atlantic Power Corporation
ATO,Atmos Energy Corporation
AGR,"Avangrid, Inc"
AVA,Avista Corporation
AZRE,Azure Power Global Limited
BKH,Black Hills Corporation
BIP,Brookfield Infrastructure Partners L.P
BEPC,Brookfield Renewable Corporation Class A
BEP,Brookfield Renewable Partners L.P
CDZI,Cadiz Inc
CWT,California Water Service Group
CNP,"CenterPoint Energy, Inc"
EBR.B,Centrais Eletricas Brasileiras S.A. - Eletrobras
EBR,Centrais Eletricas Brasileiras S.A. - Eletrobras
CEPU,Central Puerto S.A
CPK,Chesapeake Utilities Corporation
CREG,China Recycling Energy Corporation
CWEN.A,"Clearway Energy, Inc"
CWEN,"Clearway Energy, Inc"
CMS,CMS Energy Corporation
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP
CIG,Companhia Energetica de Minas Gerais
CIG.C,Companhia Energetica de Minas Gerais
ELP,Companhia Paranaense de Energia - COPEL
ED,"Consolidated Edison, Inc"
CWCO,Consolidated Water Co. Ltd
D,"Dominion Energy, Inc"
DTE,DTE Energy Company
DUK,Duke Energy Corporation
EIX,Edison International
ELLO,Ellomay Capital Ltd
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anonima
ENIA,Enel Americas S.A
ENIC,Enel Chile S.A
ETR,Entergy Corporation
WTRG,Essential Utilities Inc.
EVRG,"Evergy, Inc"
ES,Eversource Energy
EXC,Exelon Corporation
FE,FirstEnergy Corp
FTS,Fortis Inc
GNE,Genie Energy Ltd
GWRS,"Global Water Resources, Inc"
HE,"Hawaiian Electric Industries, Inc"
HNP,"Huaneng Power International, Inc"
IDA,"IDACORP, Inc"
JE,Just Energy Group Inc
KEN,Kenon Holdings Ltd
KEP,Korea Electric Power Corporation
MGEE,"MGE Energy, Inc"
MSEX,Middlesex Water Company
NGG,National Grid plc
NFE,New Fortress Energy LLC
NJR,New Jersey Resources Corporation
NEE,"NextEra Energy, Inc"
NEP,"NextEra Energy Partners, LP"
NI,NiSource Inc
NWE,NorthWestern Corporation
NWN,Northwest Natural Holding Company
NRG,"NRG Energy, Inc"
OGE,OGE Energy Corp
OGS,"ONE Gas, Inc"
OEG,Orbital Energy Group Inc.
ORA,"Ormat Technologies, Inc"
OTTR,Otter Tail Corporation
PAM,Pampa Energia S.A
PCG,PG&E Corporation
PICO,"PICO Holdings, Inc"
PNW,Pinnacle West Capital Corporation
PNM,"PNM Resources, Inc"
POR,Portland General Electric Company
PPL,PPL Corporation
PEG,Public Service Enterprise Group Incorporated
PCYO,Pure Cycle Corporation
RGCO,"RGC Resources, Inc"
SRE,Sempra Energy
SJW,SJW Group
SJI,"South Jersey Industries, Inc"
SWX,"Southwest Gas Holdings, Inc"
SPKE,"Spark Energy, Inc"
SR,Spire Inc
SPH,"Suburban Propane Partners, L.P"
AES,The AES Corporation
SO,The Southern Company
YORW,The York Water Company
TAC,TransAlta Corporation
UGI,UGI Corporation
UTL,Unitil Corporation
VST,Vistra Energy Corp
WEC,"WEC Energy Group, Inc"
XEL,Xcel Energy Inc
