Ticker,Name,Sector
PENN,PENN NATIONAL GAMING INC,consumer-cyclical
CZR,CAESARS ENTERTAINMENT INC,consumer-cyclical
PLUG,PLUG POWER INC,industrials
RARE,ULTRAGENYX PHARMACEUTICAL INC,healthcare
MRTX,MIRATI THERAPEUTICS INC,healthcare
RUN,SUNRUN INC,industrials
DAR,DARLING INGREDIENTS INC,consumer-defensive
DECK,DECKERS OUTDOOR CORP,consumer-cyclical
ARWR,ARROWHEAD PHARMACEUTICALS INC,healthcare
CHDN,CHURCHILL DOWNS INC,consumer-cyclical
NVAX,NOVAVAX INC,healthcare
NTRA,NATERA INC,healthcare
IIVI,II VI INC,technology
RDFN,REDFIN CORP,real-estate
LAD,LITHIA MOTORS INC CLASS A,consumer-cyclical
RH,RH,consumer-cyclical
BPMC,BLUEPRINT MEDICINES CORP,healthcare
BL,BLACKLINE INC,technology
SITE,SITEONE LANDSCAPE SUPPLY INC,industrials
IRTC,IRHYTHM TECHNOLOGIES INC,healthcare
FATE,FATE THERAPEUTICS INC,healthcare
LHCG,LHC GROUP INC,healthcare
BLD,TOPBUILD CORP,consumer-cyclical
TTEK,TETRA TECH INC,industrials
TGTX,TG THERAPEUTICS INC,healthcare
QTWO,Q2 HOLDINGS INC,technology
FOLD,AMICUS THERAPEUTICS INC,healthcare
NVRO,NEVRO CORP,healthcare
PFGC,PERFORMANCE FOOD GROUP,consumer-defensive
XTSLA,BLK CSH FND TREASURY SL AGENCY,cash-derivatives
LSCC,LATTICE SEMICONDUCTOR CORP,technology
YETI,YETI HOLDINGS INC,consumer-cyclical
HALO,HALOZYME THERAPEUTICS INC,healthcare
NEO,NEOGENOMICS INC,healthcare
HELE,HELEN OF TROY LTD,consumer-cyclical
APPN,APPIAN CORP CLASS A,technology
NVTA,INVITAE CORP,healthcare
SLAB,SILICON LABORATORIES INC,technology
DNLI,DENALI THERAPEUTICS INC,healthcare
BEPC,BROOKFIELD RENEWABLE SUBORDINATE V,utilities
FRPT,FRESHPET INC,consumer-defensive
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,consumer-cyclical
EGP,EASTGROUP PROPERTIES REIT INC,real-estate
CLF,CLEVELAND CLIFFS INC,basic-materials
BRKS,BROOKS AUTOMATION INC,technology
TXRH,TEXAS ROADHOUSE INC,consumer-cyclical
BJ,BJS WHOLESALE CLUB HOLDINGS INC,consumer-defensive
KNSL,KINSALE CAPITAL GROUP INC,financial-services
SF,STIFEL FINANCIAL CORP,financial-services
SSB,SOUTH STATE CORP,financial-services
VRNS,VARONIS SYSTEMS INC,technology
HQY,HEALTHEQUITY INC,healthcare
SAIL,SAILPOINT TECHNOLOGIES HOLDINGS IN,technology
EME,EMCOR GROUP INC,industrials
INSP,INSPIRE MEDICAL SYSTEMS INC,healthcare
ESNT,ESSENT GROUP LTD,financial-services
OMCL,OMNICELL INC,healthcare
APPS,DIGITAL TURBINE INC,technology
SAIA,SAIA INC,industrials
TWST,TWIST BIOSCIENCE CORP,healthcare
BBIO,BRIDGEBIO PHARMA INC,healthcare
TPTX,TURNING POINT THERAPEUTICS INC,healthcare
SMTC,SEMTECH CORP,technology
FFIN,FIRST FINANCIAL BANKSHARES INC,financial-services
STAG,STAG INDUSTRIAL REIT INC,real-estate
BLDR,BUILDERS FIRSTSOURCE INC,industrials
POWI,POWER INTEGRATIONS INC,technology
KOD,KODIAK SCIENCES INC,healthcare
RXN,REXNORD CORP,industrials
RAMP,LIVERAMP HOLDINGS INC,technology
EXPO,EXPONENT INC,industrials
MMS,MAXIMUS INC,technology
WMS,ADVANCED DRAINAGE SYSTEMS INC,industrials
ROLL,RBC BEARINGS INC,industrials
ALRM,ALARM.COM HOLDINGS INC,technology
HASI,HANNON ARMSTRONG SUSTAINABLE INFRA,financial-services
ENV,ENVESTNET INC,technology
BHVN,BIOHAVEN PHARMACEUTICAL HOLDING CO,healthcare
GBCI,GLACIER BANCORP INC,financial-services
ACIW,ACI WORLDWIDE INC,technology
EBS,EMERGENT BIOSOLUTIONS INC,healthcare
RPD,RAPID7 INC,technology
ASGN,ASGN INC,industrials
CROX,CROCS INC,consumer-cyclical
NOVT,NOVANTA INC,technology
PRLB,PROTO LABS INC,industrials
WING,WINGSTOP INC,consumer-cyclical
IRDM,IRIDIUM COMMUNICATIONS INC,communication-services
JCOM,J2 GLOBAL INC,technology
RLI,RLI CORP,financial-services
CCMP,CMC MATERIALS INC,technology
NEOG,NEOGEN CORP,healthcare
QLYS,QUALYS INC,technology
FOXF,FOX FACTORY HOLDING CORP,consumer-cyclical
SFIX,STITCH FIX INC CLASS A,consumer-cyclical
ARNA,ARENA PHARMACEUTICALS INC,healthcare
THC,TENET HEALTHCARE CORP,healthcare
LPX,LOUISIANA PACIFIC CORP,basic-materials
KBR,KBR INC,technology
PTCT,PTC THERAPEUTICS INC,healthcare
AA,ALCOA CORP,basic-materials
VRNT,VERINT SYSTEMS INC,technology
OGS,ONE GAS INC,utilities
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,real-estate
SSD,SIMPSON MANUFACTURING INC,industrials
EDIT,EDITAS MEDICINE INC,healthcare
GTLS,CHART INDUSTRIES INC,industrials
SIGI,SELECTIVE INSURANCE GROUP INC,financial-services
HR,HEALTHCARE REALTY TRUST REIT INC,real-estate
LPSN,LIVEPERSON INC,technology
ENSG,ENSIGN GROUP INC,healthcare
OVV,OVINTIV INC,energy
PNM,PNM RESOURCES INC,utilities
VLY,VALLEY NATIONAL,financial-services
MEDP,MEDPACE HOLDINGS INC,healthcare
QTS,QTS REALTY REIT INC TRUST CLASS A,real-estate
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,financial-services
UBSI,UNITED BANKSHARES INC,financial-services
PRG,PROG HOLDINGS INC,financial-services
TRNO,TERRENO REALTY REIT CORP,real-estate
RDN,RADIAN GROUP INC,financial-services
BKH,BLACK HILLS CORP,utilities
INSM,INSMED INC,healthcare
POR,PORTLAND GENERAL ELECTRIC,utilities
JBT,JOHN BEAN TECHNOLOGIES CORP,industrials
DOC,PHYSICIANS REALTY TRUST REIT,real-estate
AEIS,ADVANCED ENERGY INDUSTRIES INC,technology
MTZ,MASTEC INC,industrials
UPWK,UPWORK INC,industrials
CRNC,CERENCE INC,technology
SPSC,SPS COMMERCE INC,technology
FGEN,FIBROGEN INC,healthcare
WCC,WESCO INTERNATIONAL INC,industrials
CNNE,CANNAE HOLDINGS INC,financial-services
TENB,TENABLE HOLDINGS INC,technology
X,US STEEL CORP,basic-materials
CDLX,CARDLYTICS INC,communication-services
EYE,NATIONAL VISION HOLDINGS INC,consumer-cyclical
WDFC,WD-40,consumer-defensive
BCPC,BALCHEM CORP,basic-materials
AVNT,AVIENT CORP,basic-materials
SBRA,SABRA HEALTH CARE REIT INC,real-estate
MUSA,MURPHY USA INC,consumer-cyclical
CIT,CIT GROUP INC,financial-services
STMP,STAMPS.COM INC,consumer-cyclical
WSC,WILLSCOT MOBILE MINI HOLDINGS CORP,industrials
ENS,ENERSYS,industrials
HLI,HOULIHAN LOKEY INC CLASS A,financial-services
PACB,PACIFIC BIOSCIENCES OF CALIFORNIA,healthcare
ITRI,ITRON INC,technology
TRUP,TRUPANION INC,financial-services
STAA,STAAR SURGICAL,healthcare
BCO,BRINKS,industrials
WK,WORKIVA INC CLASS A,technology
VC,VISTEON CORP,consumer-cyclical
BYD,BOYD GAMING CORP,consumer-cyclical
ADC,AGREE REALTY REIT CORP,real-estate
BMCH,BMC STOCK HOLDINGS INC,industrials
TMHC,TAYLOR MORRISON HOME CORP,consumer-cyclical
BAND,BANDWIDTH INC CLASS A,communication-services
ORA,ORMAT TECH INC,utilities
AIMC,ALTRA INDUSTRIAL MOTION CORP,industrials
SWX,SOUTHWEST GAS HOLDINGS INC,utilities
ALLK,ALLAKOS INC,healthcare
TNET,TRINET GROUP INCINARY,industrials
UFPI,UFP INDUSTRIES INC,industrials
LIVN,LIVANOVA PLC,healthcare
FORM,FORMFACTOR INC,technology
CDNA,CAREDX INC,healthcare
LCII,LCI INDUSTRIES,consumer-cyclical
