Name,Ticker,Weight,      Price,Chg,% Chg
UnitedHealth Group Incorporated,UNH,7.37563,336.08,-2.3,(-0.68%)
Home Depot Inc.,HD,5.894968,270.99,0.54,(0.20%)
Goldman Sachs Group Inc.,GS,5.27768,256.98,14.85,(6.13%)
Amgen Inc.,AMGN,4.980371,226.9,-1.59,(-0.70%)
salesforce.com inc.,CRM,4.957265,226.47,-0.96,(-0.42%)
Boeing Company,BA,4.789866,219.31,-0.44,(-0.20%)
Microsoft Corporation,MSFT,4.764581,222.99,4.4,(2.01%)
McDonald's Corporation,MCD,4.688074,211.67,-3.41,(-1.59%)
Visa Inc. Class A,V,4.6059,209.01,-2.3,(-1.09%)
Honeywell International Inc.,HON,4.578218,210.66,0.62,(0.30%)
Caterpillar Inc.,CAT,3.944365,180.16,-0.8,(-0.44%)
3M Company,MMM,3.845406,175.66,-0.76,(-0.43%)
Walt Disney Company,DIS,3.768463,170.69,-2.2,(-1.27%)
Johnson & Johnson,JNJ,3.367837,153.02,-1.49,(-0.96%)
Walmart Inc.,WMT,3.181255,145.97,0.02,(0.01%)
Procter & Gamble Company,PG,3.030639,137.52,-1.52,(-1.09%)
Travelers Companies Inc.,TRV,3.026716,138.15,-0.71,(-0.51%)
NIKE Inc. Class B,NKE,2.992276,144.02,6.74,(4.91%)
Apple Inc.,AAPL,2.760684,130.62,3.97,(3.13%)
International Business Machines Corporation,IBM,2.743138,123.39,-2.46,(-1.95%)
JPMorgan Chase & Co.,JPM,2.595573,123.55,4.47,(3.75%)
American Express Company,AXP,2.561352,116.41,-1.1,(-0.94%)
Chevron Corporation,CVX,1.90047,86.09,-1.1,(-1.26%)
Merck & Co. Inc.,MRK,1.733506,79.29,-0.24,(-0.30%)
Verizon Communications Inc.,VZ,1.31784,59.49,-0.97,(-1.60%)
Dow Inc.,DOW,1.213215,55.08,-0.58,(-1.04%)
Coca-Cola Company,KO,1.171365,52.81,-0.93,(-1.73%)
Intel Corporation,INTC,1.03448,46.12,-1.34,(-2.82%)
Cisco Systems Inc.,CSCO,0.990451,44.65,-0.79,(-1.74%)
Walgreens Boots Alliance Inc,WBA,0.886915,40.66,-0.03,(-0.07%)
